name,prompt,negative_prompt
热闹集市 Lively Bazaar,"lively bazaar style {prompt}. Narrow, crowded alleys filled with stalls selling a wide variety of goods such as colorful textiles, handicrafts, spices, and fresh produce. The air is filled with the chatter of vendors and customers, and the sounds of bargaining. Strings of lights are hung above, and there are small cafes and restaurants offering local cuisine.","Quiet, empty spaces, absence of stalls and vendors, no signs of a bustling market atmosphere"
冰雪极地 Icy Polar Region,"icy polar region style {prompt}. Expansive white ice sheets stretching as far as the eye can see. Glaciers with deep blue crevasses tower over the landscape. Penguins or polar bears roam around, depending on the pole. The sky is often a pale, cold color, and there may be auroras dancing in the night sky.","Warm climate, absence of ice and snow, no polar - adapted wildlife"
神秘沼泽 Mysterious Swamp,"mysterious swamp style {prompt}. A wetland area filled with stagnant water, tall reeds, and cypress trees with their roots submerged. The water is dark and murky, and there are patches of floating vegetation. Fog often hovers over the swamp, and the croaking of frogs and calls of strange birds can be heard.","Dry, firm ground, lack of waterlogged areas and swamp - specific plants, no signs of a wet, mysterious environment"
太空空间站 Space Station,"space station style {prompt}. A large, high - tech structure floating in the blackness of space. Sleek metal panels and large, circular windows provide views of the Earth or stars. There are docking ports for spacecraft, and robotic arms move equipment around. Inside, there are control rooms filled with advanced monitors and communication devices.","Ground - based location, absence of space - related features like zero - gravity and space views, no high - tech space - station equipment"
沙漠绿洲 Desert Oasis,"desert oasis style {prompt}. A lush, green area in the middle of a vast desert. Palm trees sway in the breeze, and there is a clear, blue pool of water surrounded by grass and colorful flowers. Camels may be resting nearby, and there are small tents set up for travelers. The contrast between the arid desert and the fertile oasis is striking.","Barren desert with no signs of water or vegetation, absence of oasis - like features"
复古小镇 Retro Town,"retro town style {prompt}. Buildings with architecture from a bygone era, such as Victorian - style houses or Art Deco - inspired shops. Old - fashioned streetlights line the streets, and cars from the 1950s or 1960s are parked along the curb. There is a soda fountain or a diner with a neon sign, and people are dressed in vintage - style clothing.","Modern - looking town with contemporary architecture, absence of retro - themed elements"
奇幻仙境 Magical Wonderland,"magical wonderland style {prompt}. A world filled with floating islands, glowing mushrooms, and trees with leaves that change color. There are fairies flitting about, and small, sparkling streams flow through the landscape. The sky is a magical blend of colors, and there are castles made of crystal or candy - like materials.","Ordinary, realistic - looking environment, lack of magical elements and fantastical landscapes"
繁华夜市 Prosperous Night Market,"prosperous night market style {prompt}. A vibrant, well - lit area at night, filled with food stalls selling delicious street food, such as skewers, dumplings, and bubble tea. There are also game stalls where people can try their luck, and shops selling unique trinkets and souvenirs. The air is filled with the sounds of laughter, music, and the sizzling of food being cooked.","Quiet, dark area at night, absence of stalls, lights, and people, no signs of a lively night - time market"
水下世界 Underwater World,"underwater world style {prompt}. A vivid, colorful environment beneath the ocean's surface. Coral reefs in various shapes and colors are home to a multitude of tropical fish. There are also sea turtles gliding through the water, and octopuses hiding in crevices. Sunlight filters down through the water, creating a beautiful play of light and shadow.","Dry land, absence of water, no underwater - specific creatures and landscapes"
>>> 城市绿化,,
公园,"park landscape, lush greenery, vibrant flowers, serene environment, winding pathways, blooming plants, tranquil ponds, towering trees, colorful foliage, manicured lawns, natural beauty, peaceful setting, sunlight filtering through leaves, seasonal blossoms, scenic views, wildlife habitat, gentle streams, 8k resolution, RAW photo, ultra-high quality, realistic photo, photographic masterpiece, hyper-realistic, true-to-life photo realism",
灌木草地,"(lush shrubs and grass:1.2), well-manicured shrubbery, vibrant green grass, dense foliage, soft ground cover, neatly trimmed hedges, expansive grassy areas, natural green tones, seamless integration of shrubs and grass, uniform greenery, rich textures, healthy and thriving plants, smooth and even grass surface, inviting green spaces, clean and well-kept landscape",
树木绿化,"(lush tree landscape:1.2), towering trees, vibrant green canopy, mature tree specimens, natural forest ambiance, dense foliage, shaded walkways, interwoven branches, diverse tree species, dappled sunlight through leaves, well-maintained tree groves, organic tree arrangements, serene woodland setting",
起伏草坡,"(rolling grassy hills:1.2), gentle undulating slopes, lush green turf, smooth and even grass surface, natural contours, harmonious flow of the landscape, soft gradients, vibrant green tones, well-maintained grasslands, seamless transitions between slopes, expansive open spaces",
花卉组合,"(floral arrangement:1.2), vibrant blooms, colorful petals, delicate blossoms, lush foliage, elegant bouquet, natural beauty, fragrant flowers, intricate designs, harmonious colors, artistic composition, seasonal variety, fresh and lively, captivating patterns, lush greenery, stunning visual appeal, romantic ambiance, detailed textures",
中式园林,"Chinese garden, intricate landscaping, serene ponds, winding pathways, lush greenery, delicate rock formations, tranquil water features, harmonious balance, ornamental plants, traditional pavilions, curved bridges, reflective water surfaces, detailed stonework, artistic plant arrangement, peaceful ambiance, seasonal blossoms, bamboo groves, natural integration, elegant simplicity, high resolution, ultra-high quality, detailed textures, hyper-realistic, true-to-life depiction",
公共广场,"(public square design:1.2), open and spacious layout, symmetrical pathways, well-organized seating areas, decorative paving patterns, lush greenery, interactive water features, elegant lighting fixtures, vibrant social atmosphere, clean and well-maintained surfaces, integrated landscaping, seamless pedestrian flow, central gathering spaces",
建筑前水池,"(reflective water feature:1.2), calm and serene surface, crystal clear water, gentle ripples, natural reflection, harmonious integration with the landscape, elegant and minimalist design, soft ambient lighting, subtle water movement","stagnant water, overly artificial look, harsh or unnatural lighting, chaotic or cluttered surroundings, poorly maintained, visible debris or algae, lack of reflection, dull or lifeless appearance"
荷花池,"(serene lotus pond:1.2), delicate lotus flowers, lush green lily pads, calm and reflective water, soft ripples, natural harmony, tranquil and peaceful atmosphere, gentle breeze, vibrant and fresh colors, high resolution, ultra-high quality, hyper-realistic, true-to-life depiction, professional rendering, elegant water plants, subtle reflections, harmonious integration with nature","stagnant water, overly artificial look, harsh or unnatural lighting, chaotic or cluttered surroundings, wilted flowers, muddy water, poorly maintained, lack of clarity"
步行绿道,"(natural greenway:1.2), scenic walking path, serene running trail, lush green surroundings, well-maintained pathway, soft natural lighting, winding path through nature, harmonious landscape design, vibrant greenery, smooth trail surface, inviting and peaceful atmosphere, dappled sunlight filtering through trees, shaded areas along the path, clean and clear path edges, organic integration with the environment, tranquil outdoor space",
石头路面,"(stone-paved road:1.2), uneven and natural texture, irregularly shaped stones, weathered and aged appearance, carefully laid and fitted, earthy and rustic feel, authentic and traditional craftsmanship, rich in color variations, rough-hewn surfaces, sturdy and durable construction, seamless integration with the surrounding landscape",
滨水空间,"(waterfront space:1.2), serene and inviting atmosphere, gentle water's edge, well-designed promenade, lush green landscaping along the water, tranquil reflections on the surface, natural integration with the surroundings, soft ambient lighting, clear and clean water, harmonious blend of land and water, open and spacious walkways, vibrant social environment, high transparency water, smooth and even shoreline, interactive public spaces",
湖面,"(serene lake surface:1.2), calm and reflective water, crystal-clear clarity, gentle ripples, mirror-like reflections, tranquil and peaceful ambiance, soft sunlight glistening on water, pristine water quality, smooth and undisturbed surface, natural gradient of blues and greens, subtle waves, harmonious interaction with the surrounding environment, high transparency, pure and unpolluted water, delicate light reflections",
>>> 奇幻森林,,
幻觉玫瑰森林：月光下的莫兰迪绿色玫瑰,"Tyndall light effect under spectrum of glowing flowers blooming in beautiful twilight, cgsociety, r/art, trends on artstation, artstationhd, octane rendering, very detailed, cel-shaded, vray, volumetric lighting, unreal engine --ar 2:3 --v 4",
丁达尔光效果：河畔的耀眼牡丹,"3d rendering of a milky white dahlia with spectral light effect, snow mountain, sunlight, sunlight research, by jan davidsz de heem and (((((lisa frank))))), art nouveau, 8k, extreme detail, sharp focus, octane render hd --ar 2:3 --v4",
乳白色大丽花：光谱光效的3D渲染,"A beautiful painting of a glorious place where love conquers all, the sky opens up to the great universe, flowers are launched into unknown places 8k, hyper realistic, lens flare, atmosphere, glowing, detailed, intricate, full of color, cinematic lighting, art station trends, 4k, hyperrealism, out of focus, extreme detail, unreal engine 5, film, masterpiece --ar 2:3 --v 4",
超现实风景摄影：透明彩色的极光与新月,"a small orchid bell flower under the light effect of Tyndall, the shape of the flower is like a bell, the color is like a pearl, shining with a touch of pearly high-definition picture, 8k, volumetric light, ureal --ar 2:3 --v 4",
爱情胜利之地：宇宙天空下的绚丽花朵,"big glacier, frost, pink lilac flowers, rainbow, iridescent, sunrise, shining, Christmas, bouquet, beam of light, beautiful, last detail, 50mm lens, photo, realism, common natural lighting, extremely detailed, realistic, high definition, UHD, ultra-realistic, --ar 2:3 --v 4",
蜿蜒小径：超级新月下的美景,"big glacier, frost, pink lilac flowers, rainbow, iridescent, sunrise, shining, Christmas, bouquet, beam of light, beautiful, last detail, 50mm lens, photo, realism, common natural lighting, extremely detailed, realistic, high definition, UHD, ultra-realistic, --ar 2:3 --v 4",
幻觉桃花森林：星光下的透明白月,"CG render of arctic azure flower, vibrant exotic artstation photos, sparkling colors, hyperdetailed, volumetric light, artstation trends, world renowned artists, floral arts society, floral update, cgsociety, greg rutkowski, gustave dore, deviantart --ar 2:3 --v 4",
丁达尔光下的兰铃花：清澈如露珠,"Edge light, beautiful spectrum light orange plum blossom, petals shimmering blue light, background blue, reflection, reflection, bright, ultra clear, transparent metal armor, sponsor, transparent, corrosion, optical, portrait outline, surreal, magical, fantasy, composition, dark, art station trend, pearl, 8k, hd --ar 2:3 --v 4",
大冰川与粉色丁香：彩虹下的日出,"Holy light, beautiful spectral white crystal lilac flower, petals shimmering with golden light, background white and blue, snow, blizzard, freezing, frost, reflection, bright, super clear, transparent metal armor, patron saint, transparent, demanding , Optical, Surreal, Magic, Fantasy, Composition, Art Station Trends, Pearly, 8k, HD --ar 2:3 --q 2 --upbeta --v 4",
丁达尔光下的绣球花：令人敬畏的色彩,"holy light,Beautiful Spectral light light blue peony, The petals are flashing white light, Background blue, drop reflection light, reflection, bright, Super clear, Transparent metal armor, patronus, transparent, caustics, optics, portrait profile, ultra realistic, magic, fantasy, composition, dark, trending on artstation, Pearly,8k, hd ,--v 4",
橙色梅花：光谱光下的边缘光线,"holy light,Beautiful Spectral White crystal apple , The petal is flashing golden light, Background white and blue, snow,snowstorm,Frozen,Frosty,reflection, bright, Super clear, Transparent metal armor, patronus, transparent, caustics, optics, ultra realistic, magic, fantasy, composition, trending on artstation, Pearly,8k, hd HD --ar 2:3 --q 2 --upbeta --v 4",
丁达尔光下的浅色丁香：闪耀的光谱,"httpssmjrunhbsjlbloc0 dream, fairy foot snow lotus,red clear snow lotus flower serenity beauty high detail, soft moonlight, soft color, soft lighting, 8k new happiness, deep detail, clear level of detail, high picture quality, high definition, new love rendering hd --ar 2:3 --v 4",
神圣之光：金色光芒下的水晶丁香,"Moon, beautiful spectrum under tyndall light effect, view from crystal moon frame, simple elegant peony flower, serene beautiful high detail, soft moonlight, petals, soft colors, soft lighting, intricate details, fantasy, garden background , Patronus, Transparent, Caustics, Optical, Petal Outline, Surreal, Magic, Fantasy, Composition, Dark, Trending on artstation --v 4",
大冰川与粉色丁香：圣诞花束的光辉,"Super realistic professional photography viewing pictures, transparent colorful aurora, crescent moon, deep blue lake, very beautiful scenery, realistic ultra detailed 8k ultra detailed cinematic concept art volumetric lighting, fantasy artwork, very realistic painting effect, high definition , hdr , movie 4k wallpapers, 8k , ultra detailed, high resolution, artstation popular on artstation in the style of albert dros glowing rich colors powerful images nasa footage drone footage drone photography unreal engine 5 --ar 2:3 --v 4",
高清CG蓝牡丹：水晶般清晰的露珠与闪电,"There is a lily of the valley flower, light blue, the petals are as deep as sea water and crystal clear as dew, can feel the loyalty and purity of love, high detail, large depth of field, high definition --ar 2:3 --v 4",
仙履雪莲花：柔和月光下的宁静之美,"this is a surreal and complex cg rendering transparent, white moon, light blue starry sky, pink peach blossom forest, glittering, cg3d effect, super shocking reality 8k that affects complex details, marc adamus landscape photography, stereoscopic light in real life, 8k highdefinition --ar 2:3 --v 4",
月光下的光谱：水晶月框中的优雅牡丹,"This is a surreal and complex cg rendering, transparent, white moonlight, Morandi green rose forest, glittering, cg3d effect, super shocking reality 8k, affecting complex details, marc adamus landscape photography, stereoscopic light in real life, 8k high-definition --ar 2:3 --v 4",
神圣之光：闪烁白光的浅蓝色牡丹,"through high definition cg, a light blue peony flower, petals and dew are crystal clear, lightning, lighting effects, 8k, ultra high definition, blizzard style art trend, luminous fog luminous volume lighting, hd --ar 2:3 --v 4",
丁达尔光下的梦境：红色清晰的雪莲花,"Tindal light effect under the beautiful spectrum of light lilacs, water droplets reflecting light, reflections, bright, ultra clear, transparent metal armor, patronus, transparent, caustic, optical, volumetric light, surreal, magic, fantasy, composition, dark, trend in artstation, 8K, HD --ar 2:3 --upbeta --v 4",
月光下的光谱：透明金属甲胄的奇幻光影,"Tyndall light effect beautiful spectral peony, shallow water salmon clearly appearing by the river, halo, elves, snowflakes, light effect, lotus pond, shiny, christmas, bouquet, light beam, beautiful, final detail, 50mm lens, photo, realistic , normal natural light, super detail, 8k HD wallpaper, HD --v 4 --ar 2:3",
丁达尔光效下的绣球花幻境,"Tyndall light effect under the beautiful hydrangea spectrum! ! A sense of awe, surreal! super detailed, colorful, 8k, artstation trends, d&d, fantasy, ray tracing, depth of field, bokeh, iridescent, vibrant, award winning, anato finnstark and marc simonetti, spectacular lighting, octane rendering --ar 2:3 --v 4",
丁达尔光效下的美丽玉兰花幻象,"Tyndall light effects under the spectrum of beautiful magnolia flowers! ! A sense of awe, surreal! super detailed, colorful, 8k, artstation trend, d & d, fantasy, ray tracing, depth of field, bokeh, iridescent accents, vibrant, award winning, anato finnstark and marc simonetti, spectacular lighting, octane rendering --ar 2:3 --v 4",
超现实主义电影风格高清壁纸,"Ultra realistic professional photography viewing image, winding path leading to super crescent, very beautiful scenery, realistic ultra detailed 8k ultra detailed, film filter, volumetric lighting, edge lighting, fantasy artwork, very realistic painting effect, hd, hdr, movie 4k wallpaper, 8k, super detailed, 16k high resolution, unreal engine 5 --ar 2:3 --v 4",
>>>混合元素,,
奇幻世界,"Fantasy Forest, Dream Lake, Magic Mountains, Fantasy Clouds, Crystal Grassland, Imaginary Flower Sea, Enchanted Waterfall, Rainbow Forest, Strange Orchard, Fantasy Hot Spring, Dreamy Starry Sky, Mystical Cave, Fantasy Lake Surface, Imaginary Valley, Magical Lake, Fantasy Desert, Enchanted Cloud Sea, Dreamy Coast, Fantasy Island, Fantasy Spring Eye.",
奇妙宇宙,"Galaxy, meteor shower, black hole, star system, Milky Way, solar system, planet, star, moon, comet, asteroid, nebula, supernova, star cluster, interstellar dust, interstellar gas, meteorite, cosmic rays, gravitational waves, light-year, space station, space shuttle, spacecraft, lunar rover, solar flare, interstellar exploration, extraterrestrial life, Lucy star, solar prominence, interstellar travel, cosmic background radiation, Big Bang, dark matter, dark energy, redshift, blueshift, interstellar communication, space telescope, cosmic ray detector, star chart, observatory, cosmic abyss.",
梦幻天空,"Colorful clouds, the moon, blue sky and white clouds, castle in the sky, stars, rainbow, the sun, flying birds, shooting star, snowflakes, mist, neon lights, Northern Lights, clouds, kite, UFO, mirror of the sky, sunset glow, morning glow, night sky, galaxy, Milky Way, comet, telescope, sea of clouds, sunrise, sunset, total lunar eclipse, supernova, bridge in the sky, soaring through the sky, fireworks, storm clouds, eye of the sky, astrolabe, ladder to the sky, city in the sky, ship in the sky, wings of the sky, lamp of the sky, window to the sky, gate of the sky, tower in the sky.",
美丽花园,"Rose, fence, fountain, butterfly, bird's nest, grassland, camellia, rose, lilac, tulip, flower bed, path, vine, pavilion, swing, bee, lotus, calamus, violet, hyacinth, plant maze, cobblestone, gravel road, flower stand, flower clock, pond, koi, stone sculpture, lantern, night-laden fragrance, lily, daisy, peony, wisteria, cherry blossom, plum blossom, orchid, azalea, touch-me-not, iris, magnolia, bachelor's button, pine tree, cypress, willow, orchard, vegetable garden, bench, stone stool, sunroom, greenhouse, well, windmill, birdhouse, snail, dragonfly, mantis, firefly, sculpture, pavilion, tower.",
赛博都市,"Neon lights, billboards, skyscrapers, digital screens, robots, futuristic architecture, virtual reality, cyberspace, electronic market, self-driving cars, drones, artificial intelligence, augmented reality, data center, fiber optic network, smart home, digital currency, technology park, video games, wearable devices, biometric technology, high-speed elevators, maglev train, city skyline, 3D printing, network security, digital city, interactive art, electronic music, future transportation system, digital citizenship, AI assistant, unmanned convenience store, smart streetlights, multifunctional plaza, circular theater, high-tech office, electric scooters, digital learning, urban surveillance system, quantum computing.",
古风部落,"Stone temple, market, bell tower, ancient city wall, stele forest, ancient street, alley, wooden architecture, Hanlin Academy, tea house, ancient well, pavilions and towers, ancient bridge, painted boat, fabric shop, blacksmith's shop, academy, inn, time-honored brand, traditional handicrafts, opera house, Hanfu (traditional Chinese clothing), antique market, calligraphy works, traditional Chinese painting, courtyard house, camel train, kite, lantern, flagstone path, classical garden, Bagua formation, classical music concert, paper cutting art, ceramic ware, music, chess, calligraphy, and painting, traditional festivals, classical dance, couplets, roof tiles, green brick wall, wood carving, brick carving.",
海洋世界,"Coral, seahorse, starfish, sea turtle, shark, whale, dolphin, seaweed, shell, waves, beach, diving, fishing boat, snorkeling, tide, underwater cave, coral reef, anemone, jellyfish, lobster, crab, fish, marine life, deep sea, pirate ship, lifebuoy, marine park, aquarium, marine exploration, submarine, marine pollution, marine resources, marine mammals, seabirds, harbor, lighthouse, navigation, anchor, fishing net, marine science research, marine protected area, marine tourism industry.",
天庭仙境,"Riding on clouds, crane, lingzhi (mushroom of immortality), fairyland, Yaochi (Pool of the Immortals), Penglai Island, colorful auspicious clouds, fairy, celestial maiden, fairy mountain, sacred spring, ancient trees reaching the sky, cascading waterfalls, misty smoke and clouds, jade palaces and towers, fairyland bridge, elixir of life, celestial music, mythical beast, sacred deer, fairyland flower sea, wandering in the clouds, fairyland legends, ethereal aura, fairyland paintings, fairyland poetry, immortal grass, fairyland sunshine, fairyland moonlight, immortals, fairyland sea of clouds, fairyland stars, magic stone, fairyland bamboo forest, fairyland clear stream, fairyland secluded valley, fairyland flying waterfall, fairyland ancient temple, fairyland auspicious snow, fairyland spring scenery, fairyland autumn breeze.",
奇幻森林,"Pebbles, ruby, sapphire, lawn, snowflakes, fairy, fairy ring of mushrooms, ancient trees, fireflies, misty forest, waterfall, crystal mine, colorful mushrooms, forest path, treehouse, squirrel, deer, wolf howl, moonlight, flower wreath, vines, forest guardian, four-season flower sea, wild strawberries, butterfly, clear stream, forest god, acorns, forest music concert, rain of leaves, rainbow bridge, forest adventure, forest sprite, wild animals, moss, towering trees, forest treasure, pine needle carpet, nightingale's song, dreamy forest.",
建筑大观,"Glass curtain wall skyscraper, luxury high-rise apartments, modern art museum, sky garden, solar panels, green building, smart building, sky viewing platform, suspension bridge, LED screen wall, data center, eco-roof, wind power tower, futuristic architecture, multi-level parking structure, smart home system, high-speed elevator, glass floor, sky walk, modern sculpture park, ring interchange, urban complex, vertical farm, modular construction, 3D-printed building, smart city control center, driverless subway, eco-friendly water treatment facility, smart streetlights, wireless charging station, multi-functional sports stadium, eco-office area, green roof, geothermal heating system, photovoltaic power station, intelligent transportation system, urban air purification tower, modern library, digital exhibition hall, high-tech park.",
各种水果,"Apple, Banana, Orange, Strawberry, Grape, Watermelon, Pineapple, Mango, Lemon, Kiwi, Cherry, Peach, Pear, Blueberry, Raspberry, Blackberry, Coconut, Papaya, Lychee, Durian, Starfruit, Passionfruit, Plum, Apricot, Avocado, Fig, Pomegranate, Jackfruit, Kumquat, Guava, Persimmon, Dragonfruit, Mulberry, Quince, Huckleberry, Boysenberry, Loganberry, Cranberry, Elderberry, Gooseberry.",
各种蔬菜,"Carrot, Tomato, Lettuce, Cucumber, Onion, Garlic, Spinach, Broccoli, Cauliflower, Pepper, Eggplant, Zucchini, Celery, Mushroom, Bean, Pea, Corn, Asparagus, Artichoke, Radish, Cabbage, Brussels sprout, Kale, Collard greens, Swiss chard, Parsley, Cilantro, Basil, Spinach, Arugula, Endive, Leek, Shallot, Rutabaga, Turnip, Beet, Horseradish, Jicama, Kohlrabi, Okra.",
交通工具,"Car, Bicycle, Motorcycle, Bus, Train, Airplane, Boat, Ship, Subway, Taxi, Truck, Ambulance, Fire truck, Police car, Helicopter, Hot air balloon, Bicycle taxi, Tram, Trolley, Scooter, Moped, Hovercraft, Jet ski, Canoe, Kayak, Yacht, Sailboat, Rowboat, Subway train, High-speed train, Light rail, Streetcar, Cable car, Gondola, Elevator, Escalator, Stairs, Moving walkway, Segway, Skateboard, Roller skates.",
>>>室内环境,,
现代简约客厅 Modern Minimalist Living Room,"modern minimalist living room style {prompt}. Clean, uncluttered space with simple, geometric - shaped furniture. Neutral color palette like white, black, and gray. Floors are often smooth, and large windows let in plenty of natural light. A minimal number of decorative elements, with a focus on functionality","Cluttered, overly decorated space, complex and ornate furniture, absence of natural light, non - neutral color schemes"
古典欧式书房 Classic European Study,"classic European study style {prompt}. Dark - wood paneling on the walls, with elegant, detailed bookshelves filled with leather - bound books. Ornate, antique - style desks and chairs, often with carved woodwork. Chandeliers or antique - looking lamps provide warm, soft lighting. Rich, deep colors like burgundy and forest green are used","Modern, sleek design, lack of dark - wood elements and detailed carvings, bright, cold - toned lighting, absence of traditional European - style furniture"
田园风卧室 Rustic Bedroom,"rustic bedroom style {prompt}. Wooden furniture with a distressed finish, giving a cozy, lived - in feel. Quilted bedding in earthy tones, and floral - printed curtains. There may be a fireplace or a faux - fireplace for added warmth. The walls are often painted in soft, natural colors like beige or light blue","Sleek, modern - style furniture, lack of distressed or rustic elements, bright, bold color schemes, absence of floral and earthy accents"
工业风餐厅 Industrial - style Dining Room,"industrial - style dining room style {prompt}. Exposed brick walls, metal pipes for ceiling fixtures, and wooden tables with metal legs. Edison - style bulbs in pendant lights create a warm, ambient glow. The overall look is raw and utilitarian, with a touch of urban charm","Smooth, painted walls, lack of exposed brick and metal elements, soft, decorative lighting, overly refined and non - industrial appearance"
儿童房 Kid's Room,"kid's room style {prompt}. Colorful, vibrant walls with murals of cartoon characters or fantasy scenes. Bunk beds or themed beds, like a car - shaped bed. Toys and books are scattered around in colorful storage bins. There may be a play area with soft mats and a small table for drawing or playing games","Plain, dull - colored walls, lack of themed furniture and colorful decor, absence of toys and play - related elements, adult - like and un - child - friendly design"
中式茶室 Chinese - style Tea Room,"Chinese - style tea room style {prompt}. Dark - wood, traditional Chinese - style furniture, such as a low - slung tea table and matching chairs. Silk or bamboo - printed fabrics are used for curtains and cushions. A set of traditional Chinese tea - making utensils is prominently displayed. The room may have a calligraphy or painting on the wall, and a soft, warm - toned lighting to create a serene atmosphere","Modern, non - Chinese - style furniture, lack of traditional Chinese elements like calligraphy and tea - making utensils, bright, cold - toned lighting, absence of silk and bamboo - related decor"
日式禅意客厅 Japanese Zen Living Room,"Japanese zen living room style {prompt}. Tatami mats cover the floor, and there are low - lying sofas or floor cushions. A simple, uncluttered design with a focus on natural materials like wood, bamboo, and paper. A small, carefully arranged flower arrangement or a bonsai tree adds a touch of nature. The lighting is soft and diffused, creating a peaceful and calming environment","Cluttered, overly decorated space, lack of natural materials, bright, harsh lighting, absence of a simple and peaceful design"
北欧风厨房 Scandinavian - style Kitchen,"Scandinavian - style kitchen style {prompt}. Light - colored wooden cabinets, often white or light gray. Stainless - steel appliances blend in with the clean, modern look. A large, open - plan layout with a central island for food preparation and socializing. Pendant lights with simple, geometric shapes provide task lighting. The room is filled with natural light, and there may be a few potted plants for a touch of greenery","Dark - colored cabinets, lack of open - plan layout, complex and ornate lighting, absence of natural light and plants, non - Scandinavian - style appliances"
奢华酒店套房 Luxury Hotel Suite,"luxury hotel suite style {prompt}. Plush, high - quality carpets, and large, comfortable beds with high - thread - count sheets. Expensive - looking furniture, often with elegant upholstery. A separate living area with a flat - screen TV and a mini - bar stocked with premium drinks. The bathroom has marble countertops and high - end fixtures. Chandeliers and wall sconces provide a warm, luxurious glow","Simple, basic furniture, lack of high - quality materials and luxurious amenities, dim, unappealing lighting, absence of a separate living area and high - end fixtures"
创意工作室 Creative Studio,"creative studio style {prompt}. Open - plan space with high ceilings and large windows for natural light. Colorful, inspiring artwork on the walls. A large, messy - looking worktable filled with art supplies, tools, and half - finished projects. Comfortable, yet eclectic - looking chairs and sofas for brainstorming sessions. String lights or industrial - style pendant lights add a touch of creativity to the lighting","Closed - off, small - sized space, lack of natural light, plain, unadorned walls, neat and tidy work area without creative chaos, lack of inspiring lighting"
>>>室外环境,,
